date,close
2024-05-10,308.0
2024-05-13,313.3
2024-05-14,317.2
2024-05-15,322.5
2024-05-16,322.0
2024-05-17,328.9
2024-05-20,325.0
2024-05-21,326.2
2024-05-22,327.9
2024-05-23,331.3
2024-05-24,334.9
2024-05-27,338.6
2024-05-28,339.8
2024-05-29,346.2
2024-05-30,341.0
2024-05-31,336.5
2024-06-03,330.8
2024-06-04,332.1
2024-06-05,341.7
2024-06-06,357.2
2024-06-07,356.5
2024-06-10,346.5
2024-06-11,350.9
2024-06-12,343.0
2024-06-13,338.3
2024-06-14,327.5
2024-06-17,328.1
2024-06-18,330.5
2024-06-19,330.5
2024-06-20,327.5
2024-06-21,327.8
2024-06-24,335.5
2024-06-25,331.5
2024-06-26,332.6
2024-06-27,328.5
2024-06-28,328.4
2024-07-01,334.0
2024-07-02,331.4
2024-07-03,330.2
2024-07-04,324.1
2024-07-05,317.1
2024-07-08,319.6
2024-07-09,324.3
2024-07-10,327.9
2024-07-11,324.9
2024-07-12,318.6
2024-07-16,322.8
2024-07-17,317.2
2024-07-18,319.0
2024-07-19,323.5
2024-07-22,315.6
2024-07-23,322.2
2024-07-24,313.7
2024-07-25,317.7
2024-07-26,316.3
2024-07-29,315.1
2024-07-30,315.1
2024-07-31,311.3
2024-08-01,315.3
2024-08-02,312.2
2024-08-05,313.7
2024-08-06,319.9
2024-08-07,321.5
2024-08-08,322.0
2024-08-09,323.3
2024-08-13,323.6
2024-08-14,323.2
2024-08-15,328.9
2024-08-16,326.5
2024-08-19,331.0
2024-08-20,339.1
2024-08-21,341.0
2024-08-22,349.1
2024-08-23,354.0
2024-08-26,360.0
2024-08-27,371.8
2024-08-28,373.9
2024-08-29,375.6
2024-08-30,365.6
2024-09-02,359.0
2024-09-03,351.6
2024-09-04,347.5
2024-09-05,349.8
2024-09-06,356.6
2024-09-09,360.5
2024-09-10,352.7
2024-09-11,365.0
2024-09-12,358.9
2024-09-13,374.5
2024-09-17,374.9
2024-09-18,373.4
2024-09-19,366.7
2024-09-20,385.4
2024-09-24,387.0
2024-09-25,391.0
2024-09-26,392.0
2024-09-27,403.3
2024-09-30,412.1
2024-10-01,412.9
2024-10-02,400.1
